case_id,case_type,legal_category,court,year,case_duration_months,previous_status,outcome
467,Criminal,Cyber Crime,High Court,2020,43,Under Review,Acquitted
468,Civil,Criminal Law,District Court,2021,39,Pending,Pending
469,Civil,Criminal Law,Family Court,2020,40,Mediation,Convicted
470,Civil,Criminal Law,Family Court,2024,11,Pending,Pending
471,Criminal,Criminal Law,High Court,2022,5,Mediation,Convicted
472,Civil,Criminal Law,Family Court,2021,38,Mediation,Acquitted
473,Civil,Criminal Law,District Court,2023,39,Mediation,Pending
474,Civil,Property,District Court,2021,20,Mediation,Settled
475,Civil,Property,High Court,2022,40,Mediation,Acquitted
476,Criminal,Family,High Court,2020,33,Mediation,Settled
477,Criminal,Criminal Law,Family Court,2022,13,Pending,Convicted
478,Civil,Property,Family Court,2022,44,Hearing,Settled
479,Civil,Property,District Court,2025,44,Pending,Pending
480,Civil,Cyber Crime,District Court,2022,25,Under Review,Acquitted
481,Criminal,Criminal Law,District Court,2024,19,Pending,Pending
482,Criminal,Criminal Law,District Court,2020,15,Under Review,Convicted
483,Civil,Family,Family Court,2022,44,Under Review,Settled
484,Civil,Property,District Court,2025,46,Pending,Pending
485,Civil,Criminal Law,District Court,2023,26,Pending,Convicted
486,Civil,Family,Family Court,2024,19,Hearing,Pending
487,Criminal,Criminal Law,High Court,2022,39,Hearing,Convicted
488,Criminal,Cyber Crime,District Court,2023,21,Hearing,Pending
489,Civil,Criminal Law,High Court,2024,14,Under Review,Settled
490,Civil,Criminal Law,District Court,2020,22,Pending,Pending
491,Criminal,Cyber Crime,Family Court,2022,28,Mediation,Settled
492,Criminal,Cyber Crime,Family Court,2021,38,Under Review,Acquitted
493,Criminal,Family,Family Court,2022,13,Mediation,Settled
494,Criminal,Family,District Court,2025,29,Under Review,Convicted
495,Civil,Family,Family Court,2024,37,Mediation,Pending
496,Criminal,Cyber Crime,District Court,2020,35,Mediation,Settled
497,Civil,Cyber Crime,Family Court,2024,15,Hearing,Acquitted
498,Civil,Family,High Court,2025,31,Under Review,Pending
499,Criminal,Criminal Law,High Court,2024,18,Mediation,Acquitted
500,Criminal,Family,High Court,2020,32,Hearing,Pending
